GEOID,NAME,state,county,tract,pct_age65p,pct_alone65p,poverty_rate,pop_total
36047033600,"Census Tract 336, Kings County, New York",36,047,033600,16.72,66.65,17.13,4701
36047033701,"Census Tract 337.01, Kings County, New York",36,047,033701,13.43,71.24,10.12,2211
36047033702,"Census Tract 337.02, Kings County, New York",36,047,033702,9.11,82.84,16.84,1669
36047033900,"Census Tract 339, Kings County, New York",36,047,033900,23.31,60.75,25.17,4398
36047034000,"Census Tract 340, Kings County, New York",36,047,034000,47.71,48.41,41.76,1991
36047034100,"Census Tract 341, Kings County, New York",36,047,034100,20.57,69.4,17.13,3194
36047034200,"Census Tract 342, Kings County, New York",36,047,034200,28.81,49.68,36.56,6151
36047034300,"Census Tract 343, Kings County, New York",36,047,034300,18.62,67.73,43.0,4942
36047034500,"Census Tract 345, Kings County, New York",36,047,034500,4.96,89.55,18.86,2924
36047034700,"Census Tract 347, Kings County, New York",36,047,034700,13.67,77.57,23.63,3496
36047034800,"Census Tract 348, Kings County, New York",36,047,034800,3.86,89.63,31.18,3055
36047034901,"Census Tract 349.01, Kings County, New York",36,047,034901,6.08,86.27,20.12,2023
36047034902,"Census Tract 349.02, Kings County, New York",36,047,034902,8.96,81.04,19.34,4320
36047035000,"Census Tract 350, Kings County, New York",36,047,035000,42.04,41.09,18.28,2971
36047035101,"Census Tract 351.01, Kings County, New York",36,047,035101,16.22,62.49,28.33,2330
36047035102,"Census Tract 351.02, Kings County, New York",36,047,035102,21.34,57.87,16.64,2320
36047035200,"Census Tract 352, Kings County, New York",36,047,035200,70.14,14.68,63.6,1162
36047035301,"Census Tract 353.01, Kings County, New York",36,047,035301,6.33,84.9,34.51,2559
36047035302,"Census Tract 353.02, Kings County, New York",36,047,035302,14.57,73.34,9.91,2725
36047035400,"Census Tract 354, Kings County, New York",36,047,035400,35.3,40.13,11.36,5720
36047035500,"Census Tract 355, Kings County, New York",36,047,035500,12.97,69.28,12.86,5499
36047035601,"Census Tract 356.01, Kings County, New York",36,047,035601,56.4,28.12,23.46,2553
36047035602,"Census Tract 356.02, Kings County, New York",36,047,035602,35.14,42.38,7.86,5586
36047035701,"Census Tract 357.01, Kings County, New York",36,047,035701,9.5,80.1,27.67,2317
36047035702,"Census Tract 357.02, Kings County, New York",36,047,035702,,,,0
36047035900,"Census Tract 359, Kings County, New York",36,047,035900,8.2,80.77,36.43,5718
36047036001,"Census Tract 360.01, Kings County, New York",36,047,036001,39.77,43.26,28.52,3156
36047036002,"Census Tract 360.02, Kings County, New York",36,047,036002,51.57,21.9,39.12,3878
36047036100,"Census Tract 361, Kings County, New York",36,047,036100,22.23,56.33,38.44,2834
36047036200,"Census Tract 362, Kings County, New York",36,047,036200,13.24,72.73,24.63,3678
36047036300,"Census Tract 363, Kings County, New York",36,047,036300,15.6,67.32,33.59,5109
36047036400,"Census Tract 364, Kings County, New York",36,047,036400,19.48,58.74,20.65,2325
36047036501,"Census Tract 365.01, Kings County, New York",36,047,036501,14.9,68.02,15.26,3564
36047036502,"Census Tract 365.02, Kings County, New York",36,047,036502,2.94,92.64,29.86,1562
36047036600,"Census Tract 366, Kings County, New York",36,047,036600,17.68,70.62,37.28,4129
36047036700,"Census Tract 367, Kings County, New York",36,047,036700,5.04,87.7,17.84,1211
36047036900,"Census Tract 369, Kings County, New York",36,047,036900,7.94,83.04,32.85,6056
36047037000,"Census Tract 370, Kings County, New York",36,047,037000,23.51,56.64,16.62,4016
36047037100,"Census Tract 371, Kings County, New York",36,047,037100,8.19,80.07,15.08,4689
36047037300,"Census Tract 373, Kings County, New York",36,047,037300,9.64,78.89,27.65,4358
36047037401,"Census Tract 374.01, Kings County, New York",36,047,037401,17.35,62.49,14.92,4679
36047037402,"Census Tract 374.02, Kings County, New York",36,047,037402,26.93,49.43,14.93,4661
36047037500,"Census Tract 375, Kings County, New York",36,047,037500,12.07,74.73,12.02,3232
36047037700,"Census Tract 377, Kings County, New York",36,047,037700,15.58,70.94,19.67,4575
36047037900,"Census Tract 379, Kings County, New York",36,047,037900,17.02,64.0,27.08,4671
36047038100,"Census Tract 381, Kings County, New York",36,047,038100,11.98,76.21,22.78,5351
36047038200,"Census Tract 382, Kings County, New York",36,047,038200,14.53,69.59,40.86,5714
36047038300,"Census Tract 383, Kings County, New York",36,047,038300,11.97,76.41,20.99,4737
36047038500,"Census Tract 385, Kings County, New York",36,047,038500,16.26,60.79,9.41,4324
36047038600,"Census Tract 386, Kings County, New York",36,047,038600,11.28,72.16,10.88,3448
36047038700,"Census Tract 387, Kings County, New York",36,047,038700,10.67,79.08,31.09,3965
36047038800,"Census Tract 388, Kings County, New York",36,047,038800,11.95,74.37,15.34,4419
36047038900,"Census Tract 389, Kings County, New York",36,047,038900,7.68,85.32,13.07,3007
36047039000,"Census Tract 390, Kings County, New York",36,047,039000,18.38,61.78,11.56,2486
36047039100,"Census Tract 391, Kings County, New York",36,047,039100,8.8,83.93,21.15,3536
